pa<br>rv	a<br>dhy	stro	text	stro_id	typ
VI	1	1	I rzekł Dźanamedźaja:<br>Jakże walczyli bohaterscy Kuru, jak Pandawowie i Somakowie, i inni wielce dostojni władcy, co z różnych krain się zjechali?	VI 1 1	p
VI	1	2	Wajśampajana rzekł:<br>Posłuchaj, o władco ziemi, jak walczyli bohaterscy Kaurawowie i Pandawowowie razem z Somakami na Polu Kuru, na Polu Umartwienia!<br>Gdy Pandawowie niezwykle potężni i Somakowie im towarzyszący dotarli na Pole Kuru, wraz ruszyli na Kaurawów, zwycięstwa spragnieni. A wszyscy byli świetnie w Wedach wykształceni i radość czerpali z walki, chciwi zwycięstwa w boju lub na śmierć w starciu gotowi. Zbliżyli się do armii synów Dhrytarasztry nieustraszonej i wraz z wojskiem stanęli po zachodniej części pola bitwy, na wschód obróceni. (5) Syn Kunti, Judhiszthira, kazał zgodnie z regułami setki namiotów rozstawić poza obszarem Samantapańćaki.<br>Cała ziemia wydawała się pusta. Nie było konnych ani piechurów, oddziałów rydwanów czy słoni. Tylko dzieci i starcy pozostali. I jak daleko słońce oświetla krąg Dźambudwipy, zewsząd siły ściągały, o najlepszy z królów, ze wszystkich plemion. W jednym miejscu stanęli, zajmując obszar na wiele stajań — krainy i rzeki, góry i lasy.<br>I wtedy król Judhiszhthira wydał rozkaz, by wszystkim wydać świetne jadło, a takoż ich zwierzętom, o buhaju wśród ludzi! (10) I podał im różne hasła, by można było rozpoznać tego, co je wymówi, jako stronnika Pandawów. I wszystkim Potomek Kaurawów poprzydzielał godła, znaki i ozdoby, gdy czas bitwy się zbliżał.<br>A gdy butny Syn Dhrytarasztry Durjodhana zobaczył szczyty godeł Pandawów, Synów Prythy, wraz jął się w szyku ze wszystkimi królami przeciw nim ustawiać. Na widok Durjodhany, z białym parasolem nad jego głową wzniesionym, wśród tysiąca słoni, w otoczeniu braci, wojownicy Pandawów wpadli w wielkie podniecenie, zadęli w konchy ogromne i w kotły po tysiąckroć uderzyli. (15) Z zachwytem na swoje siły patrzyli i radowały się ich serca, a z nimi radował się mężny Kryszna Wasudewa. Stał na rydwanie z Ardźuną Zdobywcą-Skarbu i obaj zadęli w boskie konchy, rozpalając serca wojowników — dwaj buhaje wśród ludzi. A gdy ryk konch obu, Pięciorodnej i Bożydara, do uszu tamtych wojowników dotarł, wraz robić pod siebie jęli, a z nimi ich wierzchowce, bo jak zwierzyna leśna dygoce ze strachu ryk lwa usłyszawszy, tak właśnie dygotało wojsko Syna Dhrytarasztry.<br>Kurz z ziemi się podniósł, nic się rozeznać nie dało, znikło słońce, pyłem pola bitwy spowite. (20) A potem jakby cud się zdarzył — deszcz z mięsa i krwi lunął na wszystkie oddziały. I wiatr się zerwał, szedł nisko, kamienie porywał, bijąc nimi w wojowników i kurzawę rozpylał. Obie armie, o królu, w radości wielkiej, do walki gotowe stały na Polu Kuru podobne do wzburzonych oceanów, które biją w siebie, gdy kres Wieku nadchodzi — tak niesamowite to spotkanie obu wojsk było. Tylu ludzi zebrało się pod wodzą potomków Kuru, że ziemia stała się pusta, jeno dzieci i starcy się ostali. (25)<br>A potem Kaurawowie, Pandawowie i Somakowie pakt zawarli i prawa walki ustalono, buhaju wśród ludzi!<br>Po zakończeniu walki, pozostajemy we wzajemnej życzliwości, tak jak było to wcześniej, zgodnie z zasadami. Nie podejmujemy ponownych prób oszustwa.<br>Gdy ktoś zacznie się walkę na słowa, słowem mu trzeba odpowiadać. Nie wolno w żaden sposób atakować kogoś, kto z walki się wycofa.<br>Rydwannik ma walczyć z rydwannikiem, woj na słoniu z wojem na słoniu, konny z konnym, a piechur z piechurem.<br>Należy atakować tylko po rzuceniu wyzwania do walki — odpowiednio do zdolności, męstwa, wysiłku i wigoru. Nie wolno atakować tego, co się ataku nie spodziewa i tego, kto jest w panice.<br>W żaden sposób nie wolno atakować tego, który walczy z innym, tego, kto stracił rozeznanie, kto jest odwrócony, kto stracił broń lub zbroję. (30)<br>W żaden sposób nie wolno atakować też woźniców, tych, co niosą broń, werblistów i dmących w konchy.<br>Gdy Kaurawowie, Pandawowie i Somakowie ten pakt zawarli, patrzyli na siebie nawzajem w wielkim urzeczeniu. Rozbili swe obozy ci buhaje wśród ludzi o potężnym duchu, a radość ich ogarniała i pełni dobrej myśli byli wraz ze swymi wojownikami.	VI 1 2	p
VI	1	3	QQQ	VI 1 3	p
VI	1	4	QQQ	VI 1 4	p
VI	1	5	QQQ	VI 1 5	p
VI	1	6	QQQ	VI 1 6	p
VI	1	7	QQQ	VI 1 7	p
VI	1	8	QQQ	VI 1 8	p
VI	1	9	QQQ	VI 1 9	p
VI	1	10	QQQ	VI 1 10	p
VI	1	11	QQQ	VI 1 11	p
VI	1	12	QQQ	VI 1 12	p
VI	1	13	QQQ	VI 1 13	p
VI	1	14	QQQ	VI 1 14	p
VI	1	15	QQQ	VI 1 15	p
VI	1	16	QQQ	VI 1 16	p
VI	1	17	QQQ	VI 1 17	p
VI	1	18	QQQ	VI 1 18	p
VI	1	19	QQQ	VI 1 19	p
VI	1	20	QQQ	VI 1 20	p
VI	1	21	QQQ	VI 1 21	p
VI	1	22	QQQ	VI 1 22	p
VI	1	23	QQQ	VI 1 23	p
VI	1	24	QQQ	VI 1 24	p
VI	1	25	QQQ	VI 1 25	p
VI	1	26	QQQ	VI 1 26	p
VI	1	27	QQQ	VI 1 27	p
VI	1	28	QQQ	VI 1 28	p
VI	1	29	QQQ	VI 1 29	p
VI	1	30	QQQ	VI 1 30	p
VI	1	31	QQQ	VI 1 31	p
VI	1	32	QQQ	VI 1 32	p
VI	1	33	QQQ	VI 1 33	p
VI	1	34	QQQ	VI 1 34	p
VI	2	1	I rzekł Waiśampajana:<br>I oto, wielki wieszcz Wjasa, największy znawca wszystkich Wed, Syn Satjawati, praojciec Bharatów, który widzi wszystko naocznie, który zna przeszłość, teraźniejszość i przyszłość, który zmierzchy i świty widział, tuż przed tą straszną wojną objawił tajemnicę zrozpaczonemu królowi, Synowi Wićtrawirji Dhrytarasztsze, przepełnionemu cierpieniem i pogrążonemu w rozmyślaniach nad złymi postępkami swych synów.	VI 2 1	p
VI	2	2	QQQ	VI 2 2	p
VI	2	3	QQQ	VI 2 3	p
