"lemma"	"id"	"def"	"pl"
"janamejaya"	"87482"	"name of a celebrated king to whom Vaiśampāyana recited the MBh ; name of a son of Kuru ; name of a Nāga"	"X"
"vac"	"157264"	"to speak ; to say ; to tell ; to declare ; to proclaim ; to recite ; verk￼nden"	"rzec"
"katham"	"1340"	"how?"	"X"
"yudh"	"158901"	"to fight ; to wage war ; to fight with"	"X"
"vīra"	"166143"	"man ; hero ; chief ; mankind ; son ; the male of an animal ; an adept ; Terminalia Arunja ; Nerium Odorum ; Guilandiana Bonduc ; manioc-root ; name of various sons ; name of various heroes and teachers ; name of a son of Marutta ; name of a son of Gobhānu ; [drama] the sentiment of heroism ; name of a Jina"	"X"
"kuru"	"24725"	"name of a people of India and of their country (situated near the country of the Pañcālas) ; = ṛtvijas (priests) ; = kartāras (\"doers\") ; name of the ancestor of the Kurus; son of Saṃvaraṇa and Tapatī ; name of a son of Āgnīdhra ; boiled rice ; the plant Solanum Jacquini ; [medic.] a class of worms"	"X"
"pāṇḍava"	"93423"	"a son or descendant of Pāṇḍu ; the 5 reputed sons of Pāṇḍu (pl.) ; name of a mountain ; name of a country"	"X"
"somaka"	"101396"	"name of a Ṛṣi ; name of a king ; name of a son of Kṛṣṇa ; name of a particular Bharaṭaka ; name of a people or country ; a king or native of Somaka ; the family of Drupada ; name of one of the Varṣaparvatas"	"X"
"pārthiva"	"94243"	"an inhabitant of the earth ; a lord of the earth ; king ; prince ; warrior ; an earthen vessel ; a particular Agni ; the 19th (or 53rd) year in Jupiter's cycle of 60 years ; name of a family belonging to the Kauślikas"	"X"
"ca"	"157144"	"and ; both ; also ; moreover ; as well as"	"X"
"mahābhāga"	"77274"	"one to whom a great portion or lot has fallen ; highly fortunate ; eminent in the highest degree ; illustrious ; highly distinguished (mostly of persons and frequently in address) ; virtuous in a high degree ; pure ; holy"	"X"
"nānā"	"33376"	"differently ; variously ; distinctly ; separately"	"X"
"deśa"	"87204"	"point ; region ; spot ; place ; part ; portion ; province ; country ; kingdom ; institute"	"X"
"samāgam"	"165182"	"to come together (in a friendly or hostile manner) ; to meet ; to be united with (instr. with and without saha) ; to come together (as heavenly bodies in conjunction or occultation) ; to come to ; to come near ; to approach ; to arrive at (acc. or loc.) ; to come back ; to return from (abl.) ; to meet with ; to come upon ; to find (acc.)"	"X"
"vaiśampāyana"	"118517"	"name of an ancient sage (teacher of the Taittirīyasaṃhitā; in epic poetry a pupil of Vyāsa and narrator of the MBh to Janamejaya) ; name of an author ; name of a son of Śukanāsa who was transformed into a parrot"	"X"
"yathā"	"73250"	"according ; as ; like ; as"	"X"
"kurukṣetra"	"24731"	"name of an extensive plain near Delhi; the scene of the great battles between the Kurus and a famous place of pilgrimage ; the inhabitants of that country (renowned for their bravery)"	"X"
"tapas"	"96401"	"warmth ; heat ; pain ; suffering ; religious austerity ; bodily mortification ; penance ; severe meditation ; special observance ; = tapoloka ; fervor"	"X"
"kṣetra"	"135577"	"landed property ; land ; soil ; name of a kind of tutelary deity ; a Buddha ; a field ; place ; region ; a house ; a town ; department ; place of origin ; a sacred spot ; place of pilgrimage ; portion of space ; (in geom.) a plane figure enclosed by lines ; a diagram ; a planetary orbit ; a zodiacal sign ; an astrological mansion ; (in chiromancy) certain portions marked out on the palm ; the fertile womb ; wife ; the body ; (in Sāṃkhya) = avyakta ; [alchemy] cmp. kṣetrīkaraṇa"	"X"
"śru"	"157409"	"to hear ; to listen to ; to study"	"X"
"tad"	"37875"	"this ; gleicher"	"X"
"pṛthivīpati"	"149808"	"a prince ; king ; name of Yama ; name of an author ; a species of bulbous plant growing on the Himālaya ; [rel.] name of Viṣṇu"	"X"
"avatṛ"	"159517"	"to overcome ; to overpower ; to descend into ; to alight from ; to descend in becoming incarnate ; to arrive at ; to make one's appearance ; to fit ; to undertake ; to be born ; to pull down someone"	"X"
"saha"	"105774"	"together with ; along with ; with"	"X"
"kaurava"	"133996"	"patr. from Kuru ; descendant of Kuru (generally used in pl.) ; a kind of roof"	"X"
"abhivṛt"	"159017"	"to go towards ; to approach ; to attack ; to be victorious ; to turn up ; to arise ; to take place ; to happen ; to exist"	"X"
"jigīṣ"	"171303"	"to want to overcome ; to want to win"	"X"
"mahat"	"37544"	"great ; large ; big ; huge ; ample ; extensive ; long ; abundant ; numerous ; considerable ; important ; high ; eminent ; abounding on rich in (instr.) ; distinguished by ; early (morning) ; advanced (afternoon) ; violent (pain or emotion) ; thick (as darkness) ; gross ; loud (as noise) ; many (people)"	"X"
"bala"	"154315"	"power ; strength ; might ; vigour ; force ; expertness in ; stoutness ; troops ; an army ; semen ; = Balarāma ; [min.] bronze ; name of Śiva"	"X"
"veda"	"142998"	"knowledge ; true or sacred knowledge or lore ; knowledge of ritual ; name of certain celebrated works which constitute the basis of the first period of the Hindū religion ; name of the number \"four\" ; feeling ; name of a man"	"X"
"adhyayana"	"9586"	"reading ; studying"	"X"
"sampad"	"165414"	"to turn out well ; to accrue to ; to amount to ; to meet with ; to obtain ; to be absorbed in ; to be born ; to prove ; to produce ; to make up (a number)"	"X"
"sarva"	"104444"	"whole ; entire ; all ; every ; of all sorts ; manifold ; various ; different ; completely"	"X"
"yuddha"	"64795"	"fight ; war ; (in astron.) opposition ; conflict of the planets ; battle"	"X"
"abhinandin"	"22270"	"rejoicing at ; wishing ; desiring"	"X"
"āśaṃs"	"159970"	"to hope for ; to expect ; to wish to attain ; to desire ; to suspect ; to fear ; to ask ; to praise ; to extol ; to tell ; to speak ; to recite ; to announce"	"X"
